OVERALL,PICK,PLAYER,MLB,POS,BID,TEAM,OWNER
117,10.9,Pete Fairbanks,TB,RP,7,Shelly Verougstraete,NBC Sports Edge
118,10.1,Framber Valdez,HOU,SP,17,Grey Albright,Razzball
119,10.11,Rowdy Tellez,MIL,1B,10,Carlos Marcano,BP (Marcano) - Northan
120,10.12,Christian Yelich,MIL,LF,10,Nick Pollack,Pitcher List
121,11.1,Dansby Swanson,CHC,SS,15,Doug Anderson,Fantrax
122,11.2,Chris Sale,BOS,SP,10,Ray Murphy,Baseball HQ
123,11.3,George Kirby,SEA,SP,15,Shelly Verougstraete,NBC Sports Edge
124,11.4,Willson Contreras,STL,C,13,Carlos Marcano,BP (Marcano) - Northan
125,11.5,Logan Webb,SF,SP,9,Craig Mish,Sports Grid
126,11.6,Lucas Giolito,CWS,SP,7,Craig Mish,Sports Grid
127,11.7,Giancarlo Stanton,NYY,DH,11,Brian Feldman,FantasyBaseballAuctioneer.com
128,11.8,Anthony Santander,BAL,CF,8,Ariel Cohen,Beat the Shift Podcast
129,11.9,Nico Hoerner,CHC,SS,10,Craig Mish,Sports Grid
130,11.1,Eloy Jimenez,CWS,RF,15,Adam Ronis,Fantasy Alarm
131,11.11,Bryan Reynolds,PIT,CF,16,Eric Cross,RotoBaller/FTN
132,11.12,Anthony Rizzo,NYY,1B,9,Grey Albright,Razzball
133,12.1,Jordan Montgomery,STL,SP,7,Grey Albright,Razzball
134,12.2,Nick Castellanos,PHI,RF,12,Ray Murphy,Baseball HQ
135,12.3,Jeffrey Springs,TB,RP,9,Craig Mish,Sports Grid
136,12.4,Kenley Jansen,BOS,RP,7,Brian Feldman,FantasyBaseballAuctioneer.com
137,12.5,Logan Gilbert,SEA,SP,7,Ryan Hallam,Fantasy Alarm
138,12.6,Blake Snell,SD,SP,10,Doug Anderson,Fantrax
139,12.7,Kris Bryant,COL,LF,10,Craig Mish,Sports Grid
140,12.8,Steven Kwan,CLE,CF,11,Carlos Marcano,BP (Marcano) - Northan
141,12.9,Ramon Laureano,OAK,CF,4,Doug Anderson,Fantrax
142,12.1,MJ Melendez,KC,C,9,Shelly Verougstraete,NBC Sports Edge
143,12.11,Luis Severino,NYY,SP,12,Ariel Cohen,Beat the Shift Podcast
144,12.12,Ian Happ,CHC,CF,6,Grey Albright,Razzball
145,13.1,Hunter Renfroe,LAA,RF,7,Grey Albright,Razzball
146,13.2,Amed Rosario,CLE,SS,11,Brian Feldman,FantasyBaseballAuctioneer.com
147,13.3,William Contreras,MIL,C,9,Brian Feldman,FantasyBaseballAuctioneer.com
148,13.4,Cody Bellinger,CHC,CF,4,Ray Murphy,Baseball HQ
149,13.5,Charlie Morton,ATL,SP,8,Adam Ronis,Fantasy Alarm
150,13.6,Clay Holmes,NYY,RP,8,Nick Pollack,Pitcher List
151,13.7,Kodai Senga,NYM,SP,6,Grey Albright,Razzball
152,13.8,Jose Miranda,MIN,1B,6,Nick Pollack,Pitcher List
153,13.9,J.D. Martinez,LAD,DH,3,Shelly Verougstraete,NBC Sports Edge
154,13.1,Kyle Wright,ATL,SP,7,Eric Cross,RotoBaller/FTN
155,13.11,Ty France,SEA,1B,4,Nick Pollack,Pitcher List
156,13.12,Hunter Greene,CIN,SP,11,Doug Anderson,Fantrax
157,14.1,David Bednar,PIT,RP,7,Nick Pollack,Pitcher List
158,14.2,Lars Nootbaar,STL,RF,6,Craig Mish,Sports Grid
159,14.3,Daniel Bard,COL,RP,5,Ryan Hallam,Fantasy Alarm
160,14.4,Brandon Drury,LAA,3B,4,Shelly Verougstraete,NBC Sports Edge
161,14.5,Nick Lodolo,CIN,SP,8,Adam Ronis,Fantasy Alarm
162,14.6,Andrew Vaughn,CWS,LF,7,Grey Albright,Razzball
163,14.7,Bryce Harper,PHI,RF,5,Carlos Marcano,BP (Marcano) - Northan
164,14.8,Dustin May,LAD,SP,5,Eric Cross,RotoBaller/FTN
165,14.9,Max Muncy,LAD,3B,10,Carlos Marcano,BP (Marcano) - Northan
166,14.1,C.J. Cron,COL,1B,11,Craig Mish,Sports Grid
167,14.11,Camilo Doval,SF,RP,8,Craig Mish,Sports Grid
168,14.12,Andrew Heaney,TEX,SP,3,Carlos Marcano,BP (Marcano) - Northan
169,15.1,Joey Wendle,MIA,3B,1,Ray Murphy,Baseball HQ
170,15.2,Eugenio Suarez,SEA,3B,5,Ray Murphy,Baseball HQ
171,15.3,Vaughn Grissom,ATL,2B,9,Ray Murphy,Baseball HQ
172,15.4,Cal Raleigh,SEA,C,6,Shelly Verougstraete,NBC Sports Edge
173,15.5,Jeff McNeil,NYM,2B,4,Ariel Cohen,Beat the Shift Podcast
174,15.6,Kyle Bradish,BAL,SP,3,Shelly Verougstraete,NBC Sports Edge
175,15.7,Jeremy Pena,HOU,SS,7,Doug Anderson,Fantrax
176,15.8,Jonathan India,CIN,2B,6,Doug Anderson,Fantrax
177,15.9,Ke'Bryan Hayes,PIT,3B,6,Doug Anderson,Fantrax
178,15.1,Ryan McMahon,COL,3B,6,Ariel Cohen,Beat the Shift Podcast
179,15.11,Brandon Nimmo,NYM,CF,9,Ariel Cohen,Beat the Shift Podcast
180,15.12,Ketel Marte,ARI,2B,4,Shelly Verougstraete,NBC Sports Edge
181,16.1,Keibert Ruiz,WSH,C,4,Ryan Hallam,Fantasy Alarm
182,16.2,Mitch Haniger,SF,LF,5,Ariel Cohen,Beat the Shift Podcast
183,16.3,Anthony Rendon,LAA,3B,3,Craig Mish,Sports Grid
184,16.4,Scott Barlow,KC,RP,4,Craig Mish,Sports Grid
185,16.5,Michael Conforto,SF,LF,2,Doug Anderson,Fantrax
186,16.6,Adam Duvall,BOS,LF,1,Shelly Verougstraete,NBC Sports Edge
187,16.7,Brady Singer,KC,SP,7,Grey Albright,Razzball
188,16.8,Gabriel Moreno,ARI,C,6,Eric Cross,RotoBaller/FTN
189,16.9,Trevor Rogers,MIA,RP,5,Craig Mish,Sports Grid
190,16.1,Jhoan Duran,MIN,SP,6,Ariel Cohen,Beat the Shift Podcast
191,16.11,Jesus Luzardo,MIA,SP,6,Adam Ronis,Fantasy Alarm
192,16.12,Javier Baez,DET,SS,3,Nick Pollack,Pitcher List
193,17.1,CJ Abrams,WSH,SS,2,Ray Murphy,Baseball HQ
194,17.2,Justin Turner,BOS,3B,2,Eric Cross,RotoBaller/FTN
195,17.3,Luis Garcia,HOU,RP,8,Brian Feldman,FantasyBaseballAuctioneer.com
196,17.4,Tony Gonsolin,LAD,SP,4,Carlos Marcano,BP (Marcano) - Northan
197,17.5,Riley Greene,DET,CF,5,Shelly Verougstraete,NBC Sports Edge
198,17.6,Chris Bassitt,TOR,SP,4,Ariel Cohen,Beat the Shift Podcast
199,17.7,Ryan Mountcastle,BAL,1B,6,Ariel Cohen,Beat the Shift Podcast
200,17.8,Thairo Estrada,SF,2B,5,Eric Cross,RotoBaller/FTN
201,17.9,Wil Myers,CIN,LF,3,Craig Mish,Sports Grid
202,17.1,Drew Rasmussen,TB,SP,8,Ariel Cohen,Beat the Shift Podcast
203,17.11,Alec Bohm,PHI,3B,5,Carlos Marcano,BP (Marcano) - Northan
204,17.12,Travis d'Arnaud,ATL,C,2,Ray Murphy,Baseball HQ
205,18.1,Josh Bell,CLE,1B,6,Ray Murphy,Baseball HQ
206,18.2,Josh Naylor,CLE,1B,2,Shelly Verougstraete,NBC Sports Edge
207,18.3,Carlos Estevez,LAA,RP,5,Craig Mish,Sports Grid
208,18.4,Nathan Eovaldi,TEX,SP,3,Ray Murphy,Baseball HQ
209,18.5,Bryan De La Cruz,MIA,RF,3,Carlos Marcano,BP (Marcano) - Northan
210,18.6,Hunter Brown,HOU,RP,4,Adam Ronis,Fantasy Alarm
211,18.7,Pablo Lopez,MIN,SP,4,Ray Murphy,Baseball HQ
212,18.8,Andres Munoz,SEA,RP,4,Ariel Cohen,Beat the Shift Podcast
